MUNICIPIO,LAT,LONG,EXPORTAÇÃO U$
Imperatriz,-5.5255,-47.477,581.926.337
Balsas,-7.53292,-46.035,278.888.883
Açailândia,-4.95394,-47.5019,206.895.689
Porto Franco,-6.34131,-47.4016,133.623.379
Tasso Fragoso,-8.46798,-45.7573,45.123.777
Riachão,-7.36012,-46.6146,13.343.706
Sambaíba,-7.12823, -45.3406,9.455.204
Matões do Norte, -3.63076, -44.553,9.037.768
Pedro Afonso, -8.9715, -48.1754,135.555.454
Porto Nacional,-10.7075,-48.4143,84.975.765
Cariri do Tocantins, -11.8903, -49.1637,82.174.651
Araguaína,-7.19207,-48.2078,77.179.773
Gurupi,-11.7249,-49.076,75.393.064
Campos Lindos, -7.99438,-46.8684,70.041.600
Guaraí, -8.8344,-48.5099,40.421.992
Silvanópolis,-11.1453, -48.1722,29.292.236
Palmas, -10.1689,-48.3317,28.623.563
Colinas dos Tocantins,-8.05629,-48.4773,18.207.830
Bom Jesus,-9.07505,-44.3573,68.301.169
Baixa Grande do Ribeiro,-7.85015,-45.2135,9.723.609
Uruçuí,-7.23389,-44.554,4.827.214
Luís Eduardo Magalhães,-12.0994,-45.7983,848.502.500
Barreiras,-12.1482, -44.9925,287.648.691
Correntina, -13.3404,-44.643,165.443.912
